Period;Version;Classes Total;Classes w/ Atoms;LoC;N.Atoms;N.Types;PostIncDec;PreIncDec;IOP;CO;AaL;LaCF;RV;CoLE;OCB;TC
After CI/CD;1.23.0;665;242;102946;2017;9;146;58;139;324;1;384;15;27;0;923
After CI/CD;1.21.0;651;239;101113;2000;9;147;59;139;306;1;390;15;27;0;916
After CI/CD;1.19.0;404;159;65372;1323;8;70;50;87;225;0;239;5;15;0;632
After CI/CD;1.17.0;392;154;61566;1292;8;69;50;86;217;0;223;5;15;0;627
After CI/CD;1.15.0;364;143;58040;1247;8;67;46;86;204;0;209;5;15;0;615
After CI/CD;1.13.0;303;127;49546;1046;8;72;47;39;168;0;199;5;15;0;501
Before CI/CD;1.11.0;286;125;47706;1053;8;71;47;36;168;0;195;5;15;0;516
Before CI/CD;1.9.0;253;116;43007;1004;8;68;46;37;152;0;169;5;16;0;511
Before CI/CD;1.7.0;237;100;41147;970;8;68;46;36;142;0;163;5;15;0;495
Before CI/CD;1.5.0;177;75;33882;839;8;49;44;29;117;0;142;5;9;0;444
Before CI/CD;1.3.0;155;66;28045;715;8;34;44;25;91;0;116;3;9;0;393
Before CI/CD;1.1.0;109;51;19514;456;8;31;45;14;67;0;71;3;10;0;215
